고유번호,성분명(국문명),이명,영문명,CAS,배합용도,EWG등급,EWG데이터등급,EWG코드,알러지,호흡,피부,발달/생식,발암,눈,주의,비고,SLS/SLES,4급암모늄,향료,색소/형광,가습기
1,카놀라오일,캐놀라오일(Canola Oil),Canola Oil,8002-13-9;120962-03-0,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
2,잇꽃씨오일,Carthamus Tinctorius Oil;Safflower Seed Oil,Carthamus Tinctorius (Safflower) Seed Oil,8001-23-8,"향료, 수분증발차단제",,,,,,,,,,,,,,,,
3,쉐어버터오일,시어버터오일,Butyrospermum Parkii (Shea) Oil,,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,유사EWG,,,,,
4,포도씨오일,,Vitis Vinifera (Grape) Seed Oil,8024-22-4,피부컨디셔닝제,A,B,AB,,,,,,,,,,,,,
5,참깨오일,Gingilli Oil;Sesame Oil;Sesame Seed Oil (RIFM);sesami oleum (EP),Sesamum Indicum (Sesame) Seed Oil,8008-74-0,착향제^피부컨디셔닝제(수분차단제),A,B,AB,,,,,,,,,,,,,
6,호호바씨오일,Buxus Chinensis Oil;Jojoba Seed Oil,Simmondsia Chinensis (Jojoba) Seed Oil,61789-91-1,"헤어컨디셔닝제, 피부컨디셔닝제(수분차단제)",A,C,AC,,,,,,,,,,,,,
7,달맞이꽃오일,달맞이꽃씨오일,Oenothera Biennis (Evening Primrose) Oil,,피부컨디셔닝제,A,C,AC,,,,,,,,,,,,,
8,알로에베라잎추출물,Aloe Extract (1);Aloe Extract (2);Aloe Extract (9);Barbados Aloe Extract;Curacao Aloe Extract,Aloe Barbadensis Leaf Extract;Aloe Vera Leaf Extract,85507-69-3;94349-62-9,"보습제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타), 산화방지제, 피부컨디셔닝제(보습제)",B,C,BC,,,,,,,,유사EWG,,,,,
9,프로폴리스추출물,propolis (EP),Propolis Extract,85665-41-4,피부컨디셔닝제,A,C,AC,,,H317,,,,,,,,,,
10,포트마리골드추출물,카렌둘라추출물(Calendula Officinalis Extract),Calendula Officinalis Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
11,향료,,Flavor;Fragrance;Parfum;Aroma,,감미제,B,B,BB,,,,,,,,,,,1,,
12,정제수,Aqua (EU);Deionized Water;Distilled Water;Micromatrix Fractile AN;Onsen-Sui (JPN);Purified Water,Water;Aqua,7732-18-5,"피부컨디셔닝제, 용제",A,A,AA,,,,,,,,,,,,,
13,헥산디올,헥산다이올,Hexanediol,26762-52-7;629-11-8,용제,A,C,AC,,,,,,,,,,,,,
14,카프릴릴글라이콜,"Capryl Glycol;1,2-Dihydroxyoctane;1,2-Octanediol;1,2-Octylene Glycol",Caprylyl Glycol,1117-86-8,"모발컨디셔닝제, 피부유연화제",A,C,AC,,,,,,H318,,,,,,,
15,펜틸렌글라이콜,"1,2-Dihydroxypentane;1,2-Pentanediol",Pentylene Glycol,5343-92-0,"피부컨디셔닝제, 용제",A,C,AC,,,H317,,,H318,,,,,,,
16,코카미도프로필피지-다이모늄클로라이드포스페이트,코카미도프로필피지-디모늄클로라이드포스페이트,Cocamidopropyl PG-Dimonium Chloride Phosphate,83682-78-4,"정전기방지제, 헤어컨디셔닝제",B,C,BC,,,,,,H318,,,,1,,,
17,옥수수오일,Corn Oil (RIFM);Maize Oil;Zea Mays Oil,Zea Mays (Corn) Oil,8001-30-7,"향료, 모발컨디셔닝제, 수분증발차단제, 계면활성제-유화제",A,B,AB,,,,,,,,,,,,,
18,코코넛야자오일,코코넛오일(Cocos Nucifera (Coconut) Oil),Cocos Nucifera (Coconut) Oil,8001-31-8,"착향제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",A,B,AB,,,,,,,,,,,,,
19,알로에베라잎즙,Aloe Barbadensis Gel;Aloe Gel;Aloe Juice;Aloe Vera Gel,Aloe Barbadensis Leaf Juice,85507-69-3;94349-62-9,피부컨디셔닝제,B,C,BC,,,,,,,,유사EWG,,,,,
20,세테아릴알코올,"alcohol cetylicus et stearylicus (EP);Alcohols, C16-18;Cetostearyl Alcohol;Cetyl/Stearyl Alcohol;1-Octadecanol, mixt. with 1-Hexadecanol",Cetearyl Alcohol,8005-44-5;67762-27-0,"유화안정제, 불투명화제, 계면활성제-거품형성제, 점증제-수용성, 점증제-비수용성",A,C,AC,,,,,,,,,,,,,
21,C12-15알킬벤조에이트,"Alkyl (C12-C15) Benzoate;Benzoic Acid, C12-15 Alkyl Esters;C12-15 Alcohols Benzoate",C12-15 Alkyl Benzoate,68411-27-8,피부유연화제,A,C,AC,,,,,,,,,,,,,
22,코코-카프릴레이트/카프레이트,,Coco-Caprylate/Caprate,95912-86-0,피부유연화제,A,C,AC,,,,,,,,,,,,,
23,글리세릴스테아레이트,"2,3-Dihydroxypropyl Octadecanoate;Glycerin 1-stearate;glyceroli monostearas (EP);Glyceryl monostearate (RIFM);Gycerol 1-Stearate;Monostearin;Octadecanoic Acid, 2,3-Dihydroxypropyl Ester;Octadecanoic Acid, Monoester with 1,2,3-Propanetriol;Stearic Acid 1-Monoglyceride",Glyceryl Stearate,11099-07-3;123-94-4;31566-31-1,"착향제, 피부컨디셔닝제(유연제), 계면활성제(유화제)",A,C,AC,,,,,,,,,,,,,
24,쉐어버터,소듐시어버터암포아세테이트,Sodium Sheabutteramphoacetate,515861-29-7,계면활성제(세정제),A,C,AC,,,,,,,,,,,,,
25,세테아릴글루코사이드,Cetearyl Polyglucose,Cetearyl Glucoside,,계면활성제-유화제,A,C,AC,,,,,,,,,,,,,
26,다이카프릴릴카보네이트,디카프릴릴카보네이트(Dicaprylyl Carbonate),Dicaprylyl Carbonate,1680-31-5,피부컨디셔닝제(유연제),A,C,AC,,,,,,,,,,,,,
27,글리세린,Glycerol,Glycerin,56-81-5,"변성제, 착향제, 헤어컨디셔닝제, 보습제, 피부보호제, 피부컨디셔닝제(보습제), 점도감소제",A,A,AA,,,,,,,,,,,,,
28,아보카도오일,Alligator Pear Oil,Persea Gratissima (Avocado) Oil,8024-32-6,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
29,카렌둘라추출물,포트마리골드추출물,Calendula Officinalis Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
30,캐모마일꽃추출물,"캐모마일꽃추출물(Anthemis Nobilis Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract);Camomille Extract",Anthemis Nobilis Flower Extract,84649-86-5,"향료, 피부컨디셔닝제, 수분증발차단제",A,C,AC,,,H317,,,,,유사EWG,,,,,
31,오이열매추출물,오이추출물(Cucumis Sativus (Cucumber) Fruit Extract),Cucumis Sativus (Cucumber) Fruit Extract,89998-01-6,"피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",A,B,AB,,,,,,,,,,,,,
32,갈조추출물,[명칭삭제] 조류추출물,Algae Extract,92128-82-0,"착향제, 보습제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
33,잔탄검,Corn Sugar Gum;gummi xanthanum (EP);Xanthan,Xanthan Gum,11138-66-2,"결합제, 유화안정제, 피부컨디셔닝제, 계면활성제-유화제, 점증제-수용성",A,B,AB,,,H317,,,,,,,,,,
34,녹차추출물,백차추출물,Camellia Sinensis Leaf Extract,84650-60-2,"산화방지제, 수렴제, 향료, 피부유연화제, 피부보습제, 피부컨디셔닝제, 피부보호제, 변색방지제",A,C,AC,,,H317,,,,,,,,,,
35,서양배추출물,Pear Extract;Pear Fruit Extract;Pyrus Communis Extract,Pyrus Communis (Pear) Fruit Extract,90082-43-2,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
36,카프릴하이드록사믹애씨드,"Octanamide, N-Hydroxy-",Caprylhydroxamic Acid,7377-03-09,금속이온봉쇄제,,,,,,,,,,,,,,,,
37,징크옥사이드,CI 77947;Low Temperature Burned Zinc Oxide;Pigment White 4;zinci oxidum (EP);Zinc White,Zinc Oxide;CI 77947,1314-13-2,"벌킹제(증량제), 피부보호제, 자외선차단(기능성화장품)",B,A,BA,,,H317,H360,H350,H318,,,,,,,
38,로즈힙열매오일,,Rosa Canina Fruit Oil,84696-47-9,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
39,비즈왁스,"Beeswax absolute (RIFM);Beeswax concrete (RIFM);Beeswax, white (Apis mellifera L.) (RIFM);Bleached Beeswax;Cera Alba (EU);White Beeswax;White Wax;Yellow Wax",Beeswax,8006-40-4;8012-89-3,"결합제, 유화안정제, 제모제, 향료, 피부컨디셔닝제, 계면활성제-유화제, 점증제-비수용성",A,C,AC,,,H317,,,,,,,,,,
40,아르간커넬오일,아르간트리커넬오일(Argania Spinosa Kernel Oil),Argania Spinosa Kernel Oil,299184-75-1;223747-87-3,"피부컨디셔닝제(유연제), 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",A,C,AC,,,,,,,,유사EWG,,,,,
41,쿠푸아쿠씨버터,코포아수씨드버터 (Theobroma Grandiflorum Seed Butter),Theobroma Grandiflorum Seed Butter,394236-97-6,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,유사EWG,,,,,
42,카카오씨버터,카카오씨드버터 (Theobroma Cacao (Cocoa) Seed Butter);코코아버터(Cocoa butter),Theobroma Cacao (Cocoa) Seed Butter,8002-31-1,"착향제, 피부보호제, 피부컨디셔닝제(수분차단제)",,,,,,,,,,,,,,,,
43,토코페롤,"b-δ-Tocopherol;3,4-Dihydro-2,5,7,8-Tetramethyl-2-(4,8,12-Trimethyltridecyl)-2H-1-Benzopyran-6-ol;2H-1-Benzopyran-6-ol, 3,4-Dihydro-2,5,7,8-Tetramethyl-2-(4,8,12-Trimethyltridecyl)-;2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-;2H-1-Benzopyran-6-ol, 3,4-dihydro-2,7,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-;Mixed Tocopherols;Natural Vitamin E;γ-Tocohopherol;(+)-γ-Tocopherol;D-Alpha-Tocopherol;DL-α-Tocopherol;dl-alpha-Tocopherol;dl-alpha-Tocopherol (RIFM)",Tocopherol,119-13-1;1406-18-4;1406-66-2;2074-53-5;10191-41-0,"산화방지제, 향료, 피부컨디셔닝제, 수분증발차단제",A,B,AB,,,H317,,,,,,,,,,
44,타피오카전분,,Tapioca Starch;Manihot Utilissima Starch,9005-25-8;92456-72-9,"점증제-수용성, 벌킹제",A,B,AB,,,,,,,,,,,,,
45,실리카,"Amorphous Silica;Amorphous Silicon Oxide Hydrate;Silica, Amorphous;Silicic Anhydride;Silicon Dioxide;Silicon Dioxide, Fumed",Silica,7631-86-9;60676-86-0;112945-52-5,"스크럽제, 흡수제, 안티케이킹제, 벌킹제, 불투명화제, 현탁화제-비계면활성제",A,A,AA,,,H317,,H350,,,,,,,,
46,포트마리골드꽃추출물,카렌둘라꽃추출물(Calendula Officinalis Flower Extract),Calendula Officinalis Flower Extract,84776-23-8,"착향제, 피부컨디셔닝제(기타)",A,C,AC,,,H317,,,,,유사EWG,,,,,
47,로우스위트블루베리추출물,블루베리추출물 (Vaccinium Angustifolium (Blueberry) Fruit Extract),Vaccinium Angustifolium (Blueberry) Fruit Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
48,캐모마일꽃/잎/줄기추출물,마트리카리아꽃/잎/줄기추출물,Chamomilla Recutita (Matricaria) Flower/Leaf/Stem Extract,,"감미제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
49,구아검,,Cyamopsis Tetragonoloba (Guar) Gum,9000-30-0,"결합제, 유화안정제, 착향제, 점도증가제(수성)",A,B,AB,,,,,,,,,,,,,
50,시어버터,쉐어버터(Butyrospermum Parkii (Shea) Butter),Butyrospermum Parkii (Shea) Butter,91080-23-8;194043-92-0,"피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제), 점도증가제(비수성)",A,C,AC,,,,,,,,유사EWG,,,,,
51,올리브오일,Olea Europaea Oil;Olea sylvestris fruit oil;olivae oleum (EP);Olive Fruit Oil,Olea Europaea (Olive) Fruit Oil,8001-25-0,"착향제
피부컨디셔닝제(수분차단제)",,,,,,H317,,,,,,,,,,
52,캐모마일꽃오일,"캐모마일꽃오일(Anthemis Nobilis Flower Oil, Chamomilla Recutita (Matricaria) Flower Oil)",Anthemis Nobilis Flower Oil,8015-92-7,"착향제, 피부컨디셔닝제(기타)",A,C,AC,,,H317,,,,,유사EWG,,,,,
53,라즈베리씨오일,,Rubus Idaeus (Raspberry) Seed Oil,,피부컨디셔닝제(유연제),A,C,AC,,,,,,,,,,,,,
54,아마씨오일,아마인오일 (Linum Usitatissimum (Linseed) Seed Oil),Linum Usitatissimum (Linseed) Seed Oil,8001-26-1,"착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",A,B,AB,,,H317,,,,,,,,,,
55,보리지씨오일,Borage Seed Oil,Borago Officinalis Seed Oil,225234-12-8,피부유연화제,A,C,AC,,,,,,,,유사EWG,,,,,
56,부틸렌글라이콜,"1,3-Butanediol;1,3-Butanediol, (3R)-;1,3-Butanediol (RIFM);1,3-Butylene Glycol;1,3-Dihydroxybutane;3-Hydroxy-1-Butanol",Butylene Glycol,107-88-0,"향료, 피부컨디셔닝제, 용제, 점도감소제",A,C,AC,,,,,,,,,,,,,
57,부틸렌글라이콜다이카프릴레이트/다이카프레이트,,Butylene Glycol Dicaprylate/Dicaprate,211107-84-5,"피부컨디셔닝제(수분차단제), 용제",A,C,AC,,,,,,,,,,,,,
58,하이드로제네이티드폴리데센,"1-Decene, Homopolymer, Hydrogenated",Hydrogenated Polydecene,68037-01-4,"향료, 모발컨디셔닝제, 피부유연화제, 피부컨디셔닝제, 용제",A,C,AC,,,,,,,,,,,,,
59,피이지-100스테아레이트,Polyethylene Glycol 100 Monostearate;Polyoxyethylene (100) Monostearate,PEG-100 Stearate,9004-99-3,계면활성제-세정제,B,C,BC,,,,,,,,,,,,,
60,세테아릴올리베이트,세테아릴 올리베이트,Cetearyl Olivate,,수분증발차단제,A,C,AC,,,,,,,,,,,,,
61,솔비탄올리베이트,소르비탄올리베이트 (Sorbitan Olivate),Sorbitan Olivate,223706-40-9,계면활성제(유화제),A,C,AC,,,,,,,,,,,,,
62,소듐폴리아크릴레이트,"Acrylic Acid Homopolymer Sodium Salt;Polyacrylic Acid, Sodium Salt;2-Propenoic Acid, Homopolymer, Sodium Salt",Sodium Polyacrylate,9003-04-7;25549-84-2,"흡수제, 유화안정제, 피막형성제, 모발고정제, 피부유연화제, 점도조절제, 점증제-수용성",B,B,BB,,,,,,,,,,,,,
63,C13-14아이소파라핀,C13-14이소파라핀(C13-14 Isoparaffin),C13-14 Isoparaffin,64742-47-8,"피부컨디셔닝제(기타), 용제",A,C,AC,,,,,H350,,,,,,,,
64,라우레스-7,PEG-7 Lauryl Ether,Laureth-7,3055-97-8;68439-50-9;9002-92-0;68002-97-1,계면활성제(유화제),B,C,BC,,,,,H350,H318,,,,,,,
65,사이클로메티콘,사이클로메치콘(Cyclomethicone),Cyclomethicone,69430-24-6,"헤어컨디셔닝제, 피부컨디셔닝제(유연제), 용제",A,B,AB,,,,H361,,,,,,,,,
66,쌀겨추출물,Rice Bran Extract,Oryza Sativa (Rice) Bran Extract,,피부컨디셔닝제(기타),A,B,AB,,,,,,,,,,,,,
67,쌀추출물,Orysa Sativa Extract;Rice Extract,Oryza Sativa (Rice) Extract,68553-81-1;90106-37-9,"모발컨디셔닝제, 피부컨디셔닝제",A,B,AB,,,,,,,,,,,,,
68,검정콩추출물,,Glycine Max (Soybean) Seed Extract;Glycine Soja (Soybean) Seed Extract,,"헤어컨디셔닝제, 피부보호제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
69,옥수수배아추출물,Corn Germ Extract;Zea Mays Germ Extract,Zea Mays (Corn) Germ Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
70,밀가루추출물,Wheat Flour Extract,Triticum Vulgare (Wheat) Flour Extract,,피부컨디셔닝제,A,C,AC,,,,,,,,,,,,,
71,소듐하이알루로네이트,"Hyaluronic acid, sodium salt;Sodium Hyaluronate (1);Sodium Hyaluronate (2);Sodium Hyaluronate (3);Sodium Hyaluronate Solution",Sodium Hyaluronate,9067-32-7,피부컨디셔닝제,A,B,AB,,,H317,,,,,,,,,,
72,카프릴릭/카프릭트라이글리세라이드,,Caprylic/Capric Triglyceride,73398-61-5,"착향제, 피부컨디셔닝제(수분차단제), 용제",A,C,AC,,,,,,,,,,,,,
73,페녹시에탄올,"Ethanol, 2-Phenoxy-;Ethylene Glycol Monophenyl Ether;2-Hydroxyethyl Phenyl Ether;2-Phenoxyethanol;2-Phenoxyethanol (RIFM);phenoxyethanolum (EP);2-Phenoxyethyl Alcohol;Phenoxytol",Phenoxyethanol,122-99-6,"향료, 살균보존제",B,C,BC,,,,H361,H351,,,,,,,,
74,토코페릴아세테이트,"3,4-Dihydro-2,5,7,8-Tetramethyl-2-(4,8,12-Trimethyltridecyl-2H-Benzopyran-6-ol, Acetate;2H-1-Benzopyran-6-ol, 3,4-Dihydro-2,5,7,8-Tetramethyl-2-(4,8,12-Trimethyltridecyl)-, Acetate;D-α-Tocopheryl Acetate;d-alpha-Tocopheryl Acetate;DL-α-Tocopheryl Acetate;DL-Alpha-Tocopheryl Acetate;Vitamin E Acetate",Tocopheryl Acetate,58-95-7;7695-91-2,"산화방지제, 피부컨디셔닝제",B,B,BB,,,,,,,,,,,,,
75,다이소듐이디티에이,디소듐이디티에이(Disodium EDTA),Disodium EDTA,139-33-3;6381-92-6,금속이온봉쇄제,A,B,AB,,,,,,,,,,,,,
76,스테아릴알코올,alcohol stearylicus (EP);1-Octadecanol (RIFM),Stearyl Alcohol,112-92-5,"유화안정제, 향료, 계면활성제-유화제, 계면활성제-거품형성제, 점증제-수용성, 점증제-비수용성",A,C,AC,,,,,,,,,,,,,
77,세틸팔미테이트,"Hexadecanoic Acid, Hexadecyl Ester;n-Hexadecyl Hexadecanoate;Hexadecyl Palmitate;Hexadecyl palmitate (RIFM);Palmityl Palmitate",Cetyl Palmitate,540-10-3,"향료, 수분증발차단제",A,C,AC,,,,,,,,,,,,,
78,솔비탄팔미테이트,소르비탄팔미테이트 (Sorbitan Palmitate),Sorbitan Palmitate,26266-57-9;5050-91-9,계면활성제(유화제),A,C,AC,,,,,,,,,,,,,
79,세틸에스터,Synthetic Spermaceti Wax,Cetyl Esters,,피부유연화제,A,C,AC,,,,,,,,,,,,,
80,귀리커넬추출물,,Avena Sativa (Oat) Kernel Extract,84012-26-0,"산화방지제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",A,B,AB,,,H317,,,,,,,,,,
81,망고씨버터,망고씨드버터 (Mangifera Indica (Mango) Seed Butter),Mangifera Indica (Mango) Seed Butter,,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
82,하이드롤라이즈드쌀단백질,"Proteins, Rice, Hydrolysate;Rice Protein Hydrolysate",Hydrolyzed Rice Protein,100209-45-8;156715-40-1,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,,,,,,
83,글리세릴카프릴레이트,,Glyceryl Caprylate,26402-26-6,"피부컨디셔닝제(유연제), 계면활성제(유화제)",A,C,AC,,,,,,,,,,,,,
84,알로에베라잎,Aloe extract (Aloe spp.) (RIFM);Aloe Leaf Powder,Aloe Barbadensis Leaf,8001-97-6,향료,B,C,BC,,,,,,,,,,,,,
85,스클레로튬검,"betasizofiran (INN);Gum, Sclerotium;Scleroglucan;Sclerogum",Sclerotium Gum,39464-87-4,"유화안정제, 피부컨디셔닝제, 점증제-수용성",A,C,AC,,,,,,,,,,,,,
86,소듐파이테이트,"Myo-Inositol, Hexakis(Dihydrogen Phosphate), Hexasodium Salt;Phytic Acid, Sodium Salt",Sodium Phytate,14306-25-3;34367-89-0,금속이온봉쇄제,A,C,AC,,,,,,,,,,,,,
87,다이메티콘,디메치콘(Dimethicone),Dimethicone,141-62-8;141-63-9;63148-62-9;9006-65-9;9016-00-6,"기포방지제, 피부보호제, 피부컨디셔닝제(수분차단제), 용제",B,C,BC,,,,H361,,H318,,,,,,,
88,시트릭애씨드,"acidum citricum (EP);Anhydrous Citric Acid;Citric Acid, Anhydrous;Citric Acid, Monohydrate;Citric acid (RIFM);2-Hydroxy-1,2,3-Propanetricarboxylic Acid;1,2,3-Propanetricarboxylic Acid, 2-Hydroxy-",Citric Acid,77-92-9;5949-29-1,"금속이온봉쇄제, 향료, pH 조절제",A,A,AA,,,,,,H318,,,,,,,
89,포타슘솔베이트,포타슘소르베이트 (Potassium Sorbate),Potassium Sorbate,24634-61-5;590-00-1,"착향제, 살균보존제",B,C,BC,,,,,,,,,,,,,
90,소듐레불리네이트,,Sodium Levulinate,19856-23-6,피부컨디셔닝제(기타),A,C,AC,,,,,,H318,,,,,,,
91,오렌지껍질오일,"Citrus Sinensis Oil;Orange Oil;Orange oil terpeneless (Citrus sinensis (L.) Osbeck) (RIFM);Orange peel oil, sweet (Citrus sinensis (L.) Osbeck) (RIFM);Orange Yu (JPN)",Citrus Aurantium Dulcis (Orange) Peel Oil;Citrus Aurantium Dulcis (Orange) Peel Oil Expressed,8008-57-9;8028-48-6,"착향제, 피부컨디셔닝제(기타)",A,C,AC,R,,H317,,,,,,,,,,
92,팔마로사오일,Cymbopogon Martinii Oil;Palmarosa Oil;Palmarosa oil (Cymbopogon martini (Roxb.) Stapf) (RIFM);Palmrosa Oil,Cymbopogon Martini Oil;CYMBOPOGON MARTINI HERB OIL,8014-19-5,"향료, 피부컨디셔닝제",A,C,AC,,,H317,,,H318,,유사EWG,,,,,
93,밤부사 불가리스추출물,대나무추출물(Bambusa Vulgaris Extract),Bambusa Vulgaris Extract,,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
94,포트마리골드꽃오일,카렌둘라꽃오일(Calendula Officinalis Flower Oil),Calendula Officinalis Flower Oil,70892-20-5,"착향제, 피부컨디셔닝제(기타)",A,C,AC,,,,,,,,유사EWG,,,,,
95,아이소프로필미리스테이트,이소프로필미리스테이트(Isopropyl Myristate),Isopropyl Myristate,110-27-0,"결합제, 착향제, 피부컨디셔닝제(유연제)",A,B,AB,,,,,,,,,,,,,
96,p-아니식애씨드,"4-Anisic Acid;Benzoic Acid, 4-Methoxy-;Draconic Acid;p-Methoxybenzoic Acid;4-Methoxybenzoic acid (RIFM)",p-Anisic Acid,100-09-4,"감미제, 향료",A,C,AC,,,,,,,,,,,,,
97,세틸알코올,alcohol cetylicus (EP);Cetanol;1-Hexadecanol;1-Hexadecanol (RIFM);n-Hexadecyl Alcohol;Palmityl Alcohol,Cetyl Alcohol,36653-82-4,"유화안정제, 향료, 불투명화제, 계면활성제-유화제, 계면활성제-거품형성제, 점증제-수용성, 점증제-비수용성",A,C,AC,,,,,,,,,,,,,
98,레불리닉애씨드,,Levulinic Acid,123-76-2,"착향제, 피부컨디셔닝제(기타)",A,C,AC,,,H317,,,H318,,,,,,,
99,해바라기씨오일,Sunflower Seed Oil;Sunflower Seed Oil (1),Helianthus Annuus (Sunflower) Seed Oil,164250-88-8;8001-21-6,"피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",A,C,AC,,,,,,,,,,,,,
100,녹차씨오일,,Camellia Sinensis Seed Oil,,"피부컨디셔닝제(보습제), 피부컨디셔닝제(수분차단제)",A,B,AB,,,,,,,,유사EWG,,,,,
101,스위트아몬드오일,"Almond Oil;Almond Oil, Sweet;Almond oil, sweet (Prunis species) (RIFM)",Prunus Amygdalus Dulcis (Sweet Almond) Oil,8007-69-0;90320-37-9,"향료, 피부컨디셔닝제, 수분증발차단제",A,C,AC,,,,,,,,,,,,,
102,산양유가루,,Goat Milk Powder,,,A,C,AC,,,,,,,,,,,,,
103,알로에베라겔,,ALOE BARBADENSIS (ALOE VERA) GEL,714950-07-9,,B,C,BC,,,,,,,,,,,,,
104,벤조익애씨드,acidum benzoicum (EP);Benzenecarboxylic Acid;Benzeneformic Acid;Benzenemethanoic Acid;Benzoic acid (RIFM);Carboxybenzene;Dracyclic Acid;Phenylcarboxylic Acid;Phenylformic Acid,Benzoic Acid,65-85-0,"향료, pH 조절제, 살균보존제",B,B,BB,,H334,H317,,,H318,,,,,,,
105,동백나무씨오일,동백오일(Camellia Japonica Seed Oil),Camellia Japonica Seed Oil,,피부컨디셔닝제(수분차단제),A,C,AC,,,,,,,,,,,,,
106,마카다미아넛오일,Macadamia (Macadamia Ternifolia) Nut Oil;Macadamia Ternifolia Oil,Macadamia Ternifolia Seed Oil;Macadamia (Macadamia Ternifolia) Nut Oil,438545-25-6;129811-1,피부컨디셔닝제,A,C,AC,,,,,,,,,,,,,
107,베르가모트오일,베르가모트열매오일(Citrus Aurantium Bergamia (Bergamot) Fruit Oil),Citrus Aurantium Bergamia (Bergamot) Fruit Oil,68648-33-9;8007-75-8;85049-52-1,착향제,A,C,AC,,,H317,,,H318,,,,,,,
108,센티드제라늄꽃오일,"Geranium absolute (Pelargonium graveolens) (RIFM);Geranium oil, African (RIFM);Geranium oil, bourbon (RIFM);Geranium oil, Chinese (RIFM);Rose Geranium Flower Oil",Pelargonium Graveolens Flower Oil,8000-46-2,향료,A,C,AC,R,,H317,,,H318,,유사EWG,,,,,
109,일랑일랑꽃오일,Ylang Ylang Oil;Ylang ylang oil (Cananga odorata Hook. f. and Thomas) (RIFM);Ylang ylang oil extra (RIFM);Ylang ylang oil III (RIFM);Ylang ylang oil II (RIFM);Ylang ylang oil I (RIFM),Cananga Odorata Flower Oil,8006-81-3,착향제,,,,R,,H317,H361,,,,,,,,,
110,오렌지오일,,Citrus Aurantium Dulcis (Orange) Oil,8008-57-9,향료,A,C,AC,,,H317,,,,,유사EWG,,,,,
111,왕귤껍질오일,Orange Yu (JPN),Citrus Grandis (Grapefruit) Peel Oil,8016-20-4,"향료, 피부컨디셔닝제",B,B,BB,R,,H317,,,,,,,,,,
112,라벤더오일,,Lavandula Angustifolia (Lavender) Oil,8000-28-0,"착향제, 피부컨디셔닝제(기타)",A,C,AC,,,H317,,,,,,,,,,
113,아틀라스시다나무껍질오일,아틀라스시다껍질오일(Cedrus Atlantica Bark Oil),Cedrus Atlantica Bark Oil,8000-27-9,"착향제, 피부컨디셔닝제(기타)",,,,R,,,,,,,,,,,,
114,다마스크장미꽃오일,,Rosa Damascena Flower Oil,8007-01-0;90106-38-0,"착향제, 피부컨디셔닝제(기타)",A,C,AC,R,,H317,,H351,H318,,유사EWG,,,,,
115,커먼자스민오일,쟈스민오일 (Jasminum Officinale (Jasmine) Oil),Jasminum Officinale (Jasmine) Oil,8022-96-6,착향제,B,B,BB,R,,H317,,,,,,,,,,
116,마텔오일,,Myrtus Communis Oil,8008-46-6,"착향제, 피부컨디셔닝제(기타)",A,C,AC,,,H317,,H351,,,유사EWG,,,,,
117,쓴쑥추출물,Mugwort Extract,Artemisia Absinthium Extract,84929-19-1,피부컨디셔닝제(기타),A,C,AC,,,,,,,,유사EWG,,,,,
118,장미꽃오일,Rose absolute (Rosa spp.) (RIFM);Rose concrete (RIFM);Rose hips extract (Rosa spp.) (RIFM);Rose oil (Rosa damascena Mill.) (RIFM),Rose Flower Oil,8007-01-0,향료,A,C,AC,R,,H317,,H351,H318,,,,,,,
119,바닐라열매추출물,Vanilla Extract,Vanilla Planifolia Fruit Extract,84650-63-5;8024-06-4,피부컨디셔닝제,A,C,AC,,,H317,,,,,유사EWG,,,,,
