고유번호,성분명(국문명),이명,영문명,CAS,배합용도,EWG등급,EWG데이터등급,EWG코드,알러지,호흡,피부,발달/생식,발암,눈,주의,비고,SLS/SLES,4급암모늄,향료,색소/형광,가습기
2062,글리세릴베헤네이트/에이코사디오에이트,,Glyceryl Behenate/Eicosadioate,,"피부컨디셔닝제(유연제), 계면활성제(유화제)",,,,,,,,,,,,,,,,
2063,콩왁스,,,,,,,,,,,,,,,,,,,,
2064,마트리카리아꽃오일,"캐모마일꽃오일(Anthemis Nobilis Flower Oil, Chamomilla Recutita (Matricaria) Flower Oil)",Chamomilla Recutita (Matricaria) Flower Oil,8002-66-2,"착향제, 피부컨디셔닝제(기타)",A,C,AC,,,H317,,,,,,,,,,
2065,바실러스/잠사추출물발효여과물,,Bacillus/Bombycis Faeces Extract Ferment Filtrate,,,,,,,,,,,,,,,,,,
2066,산자나무커넬추출물,비타민나무커넬추출물,Hippophae Rhamnoides Kernel Extract,90106-68-6,피부컨디셔닝제(기타),A,C,AC,,,,,,,,,,,,,
2067,브라시카미도프로필다이메틸아민,브라시카미도프로필디메칠아민(Brassicamidopropyl Dimethylamine),Brassicamidopropyl Dimethylamine,,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
2068,큰잎유럽피나무꽃수,큰잎라임꽃수,Tilia Platyphyllos Flower Water,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,
2069,아이리쉬모스가루,카라기난가루(Chondrus Crispus Powder),Chondrus Crispus Powder,,연마제,,,,,,,,,,,,,,,,
2070,베티버뿌리오일,,Vetiveria Zizanoides Root Oil,8016-96-4,착향제,A,C,AC,S,,H317,,,,,,,,,,
2071,라임껍질오일,,Citrus Aurantifolia (Lime) Peel Oil;Citrus Aurantifolia Peel Oil Distilled,,착향제,,,,,,,,,,,,,,,,
2072,카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드,카프릴릭/카프릭/미리스틱/스테아릭트리글리세라이드(Caprylic/Capric/Myristic/Stearic Triglyceride),Caprylic/Capric/Myristic/Stearic Triglyceride ,,피부컨디셔닝제(수분차단제),,,,,,,,,,,,,,,,
2073,비터아몬드커넬오일,,Prunus Amygdalus Amara (Bitter Almond) Kernel Oil,8013-76-1;8015-75-6,"감미제, 착향제",A,C,AC,,,,,,,,,,,,,
2074,베헤닉애씨드,Docosanoic Acid,Behenic Acid,112-85-6,"불투명화제, 계면활성제-세정제",A,C,AC,,,,,,,,,,,,,
2075,아텔로콜라겐,,Atelocollagen,55963-88-7,"모발컨디셔닝제, 피부컨디셔닝제",A,C,AC,,,,,,,,,,,,,
2076,클레이,점토,Clay,,"흡수제, 결합제, 벌킹제(증량제), 피부컨디셔닝제(기타), 점도증가제(수성)",A,X,AX,,,,,,,,,,,,,
2077,락토바실러스/자이언트켈프발효여과물,,Lactobacillus/Kelp Ferment Filtrate ,,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",,,,,,,,,,,,,,,,
2078,발삼페루오일,"Balsam oil, Peru (Myroxylon pereirae Klotzsch) (RIFM);Balsam, Peru (Myroxylon pereirae Klotzsch) (RIFM);Balsam Peru Oil;Indian Balsam;Myroxylon Pereirae Oil;Peru balsam absolute (RIFM);Peru balsam anhydrol (RIFM)",Myroxylon Pereirae (Balsam Peru) Oil,8007-00-9,착향제,B,B,BB,R,,H317,,,H318,,,,,,,
