고유번호,성분명(국문),영문명,CAS번호,배합용도,EWG등급,천식/호흡,피부자극,발달/생식,발암,천식/호흡,피부자극,발달/생식,발암,국내유해,D S L,EPA,SLS/SLES,4급암모늄,향료,색소/형광,가습기,비고,S or R,천식/호흡,피부자극,발달/생식,발암,눈자극,
41,벤즈이소치아졸리논,"1,2-Benzisothiazolin-3-one  (Benzisothiazolinone)",2634-33-5,살균보존제,C,X,S,X,X,S,S,,,,,Y,,,,,,,,,H317,,,H318,
42,메칠이소치아졸리논,2-Methyl-4-isothiazolin-3-one(Methylisothiazolinone),2682-20-4,살균보존제,D,X,S,X,X,,S,,,1,,Y,,,,,1,사용량/사용방법에 따라 C~D등급,,,H317,,H351,H318,
43,프로필렌글라이콜,Propylene glycol,57-55-6,"향료, 보습제, 피부컨디셔닝제, 용제, 점도감소제",A,X,S,L,L,S,S,,,,1,G,,,,,,,,H335,H317,,,,
44,포타슘하이드록사이드,Potassium hydroxide,1310-58-3,PH조절제,F,N,N,N,N,,S,,,1,1,G,,,,,,사용량/사용방법에 따라 A~F등급,,H335,H314,,,H318,
45,에탄올,Ethanol,64-17-5,"기포방지제, 수렴제, 향료, 용제, 점도감소제",B,X,X,X,L,S,S,S,S,,1,G,,,,,,사용량/사용방법에 따라 A~B등급,,H335,H314,H360,H350,H318,
46,소듐벤조에이트,Sodium Benzoate,532-32-1,"부식방지제, 향료, 살균보존제",B,X,X,M,X,,S,,,,,G,,,,,,,,,H317,,,,
47,향료,Fragrance,,,D,S,S,X,X,,,,,,,,,,1,,,,,,,,,,
48,디메틸라우릴아민,Dimethyl laurylamine,112-18-5,정전기방지제,,,,,,,,,,,,,,,,,,,,,H314,H361,,H318,
49,소듐하이포클로라이트,Sodium Hypochlorite,7681-52-9,산화제,F,M,H,S,S,,S,,,,1,,,,,,,사용량/사용방법에 따라 C~F등급,,,H314,,,,
50,폴리옥시에틸렌알킬에테르,Polyoxyethylene alkyl Ether,9002-92-0,계면활성제,D,S,S,S,S,,,,,,1,G,,,,,,사용량/사용방법에 따라 C~D등급,,,,,H350,H318,
51,디데실디메틸암모늄클로라이드,Didecyldimethyl ammonIum chloride,7173-51-5,"정전기방지제, 헤어컨디셔닝제",F,M,H,X,X,,,,,1,,,,1,,,,사용량/사용방법에 따라 C~F등급,,H335,H314,,,H318,
52,시트릭애씨드,Citric Acid,77-92-9,"금속이온봉쇄제, 향료, pH 조절제",A,X,X,L,L,,,,,,,G,,,,,,,,,H314,,,H318,
53,글루코닉애씨드,Gluconic Acid,133-42-6,"금속이온봉쇄제, 향료",B,X,X,X,X,,,,,,,,,,,,,,,,,,,,
54,소듐라우릴설페이트,Sodium Lauryl Sulfate,151-21-3,"계면활성제, 변성제",C,X,S,L,L,,,,,,1,G,1,,,,,,,H334,H317,,,H318,
55,소듐퍼카보네이트(과탄산나트륨),Sodium percarbonate,15630-89-4,산화제,A,N,N,N,N,S,,,,,,G,,,,,,,,,,,,H318,
56,소듐카보네이트(탄산나트륨),Sodium carbonate,497-19-8,PH조절제,A,N,N,N,N,S,,,,,,G,,,,,,,,,,,,,
57,테트라아세틸에틸렌다이아민,TAED(Tetraacetylethylenediamine),10543-57-4,세척제,B,X,X,X,X,,,,,,,Y,,,,,,,,,,,,,
58,소듐설페이트,Sodium sulfate,7757-82-6,점증제,A,N,N,N,N,,,,,,,G,,,,,,,,,H317,,,,
59,형광증백제,Fluorescent Brightener,16090-02-1,,D,X,X,X,X,,,,,,1,G,,,,1,,,,,,,,,
60,폴리비닐피롤리돈,Polyvinylpyrrolidone(PVP),9003-39-8,"결합제, 유화안정제, 피막형성제, 모발고정제, 현탁화제",C,X,X,X,X,,,,,,1,G,,,,,,,,H335,,H360,,,
61,뷰틸레이티드하이드록시톨루엔(BHT),"Butylated hydroxytoluene(BHT), 2,6-Bis(1,1-dimethylethyl)-4-methylphenol",128-37-0,"산화방지제, 향료",C,S,S,H,H,S,S,,,,1,,,,,,,,,H334,H317,H361,H350,,
62,하이드로젠퍼옥사이드,Hydrogen peroxide,7722-84-1,산화제,B,N,N,N,N,S,S,,,,1,G,,,,,,,,,H314,,,,
63,도데실벤젠설포닉애씨드(C=10-13),Benzenesulfonic acid 4-sec-alkyl(C=10-13) derivs.,85536-14-7,계면활성제,C,X,X,X,X,,,,,,,G,,,,,,,,,H314,,,H318,
64,에티드로닉애씨드,"(1-Hydroxyethylidene)bisphosphonic acid, Etidronic acid",2809-21-4,금속이온봉쇄제,D,X,X,X,X,,,,,,,,,,,,,,,,H314,,,H318,
65,에테닐피리딘엔옥사이드호폴리머,4-Ethenyl pyridine homopolymer N-oxide,58984-27-3,이염방지제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
66,리파아제,"Lipase, triacylglycerol",9001-62-1,"용해제, 피부컨디셔닝제",B,S,X,X,X,,,,,,,Y,,,,,,,,H334,H317,,,,
67,알파아밀라아제,α-Amylase,9000-90-2,용해제,B,S,X,X,X,,,,,,,Y,,,,,,,,H334,H314,,,,
68,"색소, 염료","Colors, Dye",,,F,X,S,X,M,,,,,,,,,,,1,,,,,,,,,
69,리니어알킬벤질설포네이트(C=10-16),Linear alkylbenzyl sulfonates (C10-16),68081-81-2,계면활성제,C,X,X,X,X,,,,,,,G,,,,,,,,,,,,H318,
70,복합효소,Enzyme complex,,,B,S,X,X,X,S,,,,,,,,,,,,,,,,,,,
71,소듐바이카보네이트,Sodium bicarbonate,144-55-8,"스크럽제, pH 완충제, 탈취제",A,N,N,N,N,S,,,,,,G,,,,,,,,H335,,,,H318,
72,캡슐향료,Capsule Fragrance,,,D,S,S,X,X,,,,,,,,,,1,,,,,,,,,,
73,다이하이드로제네이티드탈로우아미도에틸하이드록시에틸모늄메토설페이트,"Fatty acids, (C=10-20) and (C=16-18)-unsated., reaction products with triethanol amine, di-Me sulfate-quaternized / Dihydrogenated Tallowamidoethyl Hydroxyethylmonium Methosulfate ",91995-81-2,"정전기방지제, 헤어컨디셔닝제",D,M,X,X,X,,,,,,,G,,1,,,,,,,,,,,
74,라우디모늄클로로하이드록시프로필클로라이드,(3-chloro-2-hydroxypropyl)dodecyldimethylammonium chloride / Laurdimonium Chlorohydroxypropyl Chloride ,41892-01-7,계면활성제,,,,,,,,,,,,,,1,,,,,,,,,,H318,
75,시트릭애씨드 모노하이드레이트,Citric Acid Monohydrate,5949-29-1,"금속이온봉쇄제, 향료, pH 조절제",C,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
76,테트라소듐에티드로네이트,(1-Hydroxyethylidene)bisphosphonic acid tetrasodium salt / Tetrasodium Etidronate ,3794-83-0,금속이온봉쇄제,D,X,X,X,X,,,,,,,,,,,,,,,,H314,,,,
77,에톡실레이티드 프로폭실레이티드 알코올(C12-14),Ethoxylated propoxylated alcohols (C=12-14),68439-51-0,계면활성제,C,S,S,S,S,,,,,,,G,,,,,,,,,,,,H318,
78,소듐시트레이트디하이드레이트,Sodium citrate dihydrate,6132-04-03,"pH 완충제, 금속이온봉쇄제, 향료, pH 조절제",A,N,N,N,N,,,,,,,,,,,,,,,,,,,,
