고유번호,성분명(국문),영문명,CAS번호,배합용도,EWG등급,천식/호흡,피부자극,발달/생식,발암,천식/호흡,피부자극,발달/생식,발암,국내유해,D S L,EPA,SLS/SLES,4급암모늄,향료,색소/형광,가습기,비고,S or R,천식/호흡,피부자극,발달/생식,발암,눈자극,
166,스틸벤디설포닉애씨드 유도체,Stilbene disulfonic acid derivative,1981-11-08,형광증백제,C,X,X,X,X,,,,,,,,,,,1,,,,,,,H350,,
167,에톡시디글라이콜,Ethoxydiglycol,111-90-0,"향료, 용제, 점도감소제",C,S,S,S,S,,,,,,1,,,,,,,,,H335,,H360,,,
168,도데실벤젠설포닉애씨드,Dodecylbenzene sulfonic acid,27176-87-0,계면활성제(세정제),C,X,X,X,X,,,,,,,G,,,,,,,,,H317,,,H318,
169,에톡실레이티트알코올(C14-18),"Alcohol, (C=14-18), ethoxylated",68154-96-1,,D,M,S,M,M,,,,,,,,,,,,,,,,,,,,
170,소듐실리케이트,Sodium silicate,1344-09-8,"pH 완충제, 부식방지제, pH 조절제",C,X,X,X,X,,,,,,1,G,,,,,,,,,H317,,H350,H318,
171,셀룰로오스검,Cellulose Gum,9004-32-4,"결합제, 유화안정제, 피막형성제, 향료, 점증제-수용성",C,X,S,X,X,,,,,,,G,,,,,,,,,,,,,
172,석회석,Limestone,1317-65-3,,A,N,N,N,N,,,,,,,G,,,,,,,,,,,H350,H318,
173,"다이메틸실록산,실리콘",Dimethyl siloxanes and silicones,63148-62-9,"기포방지제, 수분증발차단제, 피부보호제",D,X,X,X,X,,,,,,1,Y,,,,,,사용량/사용방법에 따라 C~D등급,,,H314,H361,,H318,
174,코카마이드엠이에이,Cocamide MEA ,68140-00-1,"계면활성제-거품형성제, 점증제-수용성",C,X,X,X,X,,,,,,,,,,,,,,,,,,,H318,
175,알킬벤젠설포닉애씨드(C=10-13),Benzenesulfonic acid 4-sec-alkyl(C=10-13) derivs,85536-14-7,계면활성제,C,X,X,X,X,,,,,,,G,,,,,,,,,H314,,,H318,
176,피이지-150디스테아레이트,PEG-150 Distearate ,9005-08-07,"계면활성제-세정제, 계면활성제-용해보조제",C,S,S,S,S,,,,,,,G,,,,,,,,,H317,,,,
177,폴리에틸렌글리콜(피이지),Polyethyleneglycol(PEG),25322-68-3,,C,S,S,S,S,,S,,,,1,G,,,,,,,,H335,H314,,H351,,
178,카프릴릴/카프릴글루코사이드,Caprylyl/capryl Glucoside,68515-73-1,계면활성제-세정제,B,X,S,L,X,,,,,,,G,,,,,,,,,,,,H318,
179,라우레스-7,Laureth-7,3055-97-8,계면활성제-유화제,C,S,S,S,S,,,,,,,,,,,,,,,,,,,H318,
180,토코페롤,Tocopherol,10191-41-0,"산화방지제, 향료, 피부컨디셔닝제, 수분증발차단제",C,X,S,X,X,,,,,,,G,,,,,,,,,H317,,,,
181,소듐올리에이트,Sodium Oleate,143-19-1,"계면활성제-세정제, 계면활성제-유화제, 점증제-수용성",A,X,L,L,X,,,,,,,G,,,,,,,,,,,,,
182,소듐보레이트,Sodium Borate,1303-96-4,"pH 조절제, 살균보존제",F,S,S,H,X,,,,,,1,Y,,,,,,,,,,H360,,,
183,벤질알코올,Benzyl alcohol,100-51-6,"향료, 살균보존제, 용제, 점도감소제",C,X,S,X,X,,S,,,,1,,,,,,,,S,,H317,,,H318,
184,라벤더오일,Lavandula Angustifolia (Lavender) Oil ,8000-28-0,"향료, 피부컨디셔닝제",C,S,S,X,S,,,,,,,,,,,,,,,H335,H317,,,,
185,유칼립투스잎오일,Eucalyptus Globulus Leaf Oil ,8000-48-4,"향료, 피부컨디셔닝제",C,X,S,X,S,S,S,,,,,,,,,,,,R,H335,H317,,,,
186,포타슘소르베이트,Potassium sorbate,"24634-61-5, 590-00-1","착향제, 살균보존제",C,X,S,X,L,,,,,,,G,,,,,,,,,,,,,
187,피이지-3 다이소이오일아미도에틸모늄메토설페이트,PEG-3 Disoyoylamidoethylmonium Methosulfate ,68605-27-6,"정전기방지제, 헤어컨디셔닝제",C,S,S,S,S,,,,,,,,,1,,,,,,,,,,,
188,소듐알킬벤젠설포네이트(C10-13),Sodium alkylbenzene sulfonate,68411-30-3,,C,X,X,X,X,,,,,,1,,,,,,,,,,,,,H318,
189,수지비누,Tallow soap,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,에톡실레이티트알코올(C12-15),"Alcohol, (C=12-15), ethoxylated",68131-39-5,계면활성제-유화제,D,S,S,S,S,,,,,,1,G,,,,,,사용량/사용방법에 따라 C~D등급,,,,,,H318,
191,소듐C14-16올레핀설포네이트,Sodium C14-16 olefin sulfonate,68439-57-6,계면활성제-세정제,B,X,S,L,L,,,,,,1,G,,,,,,,,H335,H314,,,H318,
192,벤토나이트,Bentonite,1302-78-9,"흡수제, 벌킹제(증량제), 유화안정제, 점도증가제(수성)",B,X,X,X,X,,,,,,,G,,,,,,,,H334,H317,,H351,,
193,효소,Enzyme,,,B,S,X,X,X,,,,,,,,,,,,,,,,,,,,
194,실리콘,Silicone,7440-21-3,,D,X,X,X,X,,,,,,,,,,,,,사용량/사용방법에 따라 C~D등급,,,,,,,
195,소듐폴리아크릴레이트,Sodium polyacrylate,9003-04-07,"흡수제, 유화안정제, 피막형성제, 모발고정제, 피부유연화제, 점도조절제, 점증제-수용성",D,X,X,X,X,,,,,,1,G,,,,,,사용량/사용방법에 따라 C~D등급,,,,,,,
196,피이지/피피지 코폴리머,PEG/PPG Copolymer,9003-11-06,계면활성제,C,S,S,S,S,,,,,,1,G,,,,,,,,,,,,,
197,알코올에톡실레이트,Alcohol Ethoxylate,,,D,M,S,M,M,,,,,,,,,,,,,,,,,,,,
198,트리에탄올아민,Triethanolamine,102-71-6,"향료, pH 조절제, 계면활성제-유화제",D,M,S,X,X,S,S,,,,1,Y,,,,,,사용량/사용방법에 따라 C~D등급,,H334,H314,,,H318,
199,디프로필렌글리콜부틸에터,Dipropylene glycol butyl ether,29911-28-2,,C,S,S,S,S,,,,,,,Y,,,,,,,,,,,,H318,
200,비닐공중합체,Vinyl copolymer,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,소듐코코암포아세테이트,Sodium Cocoamphoacetate,68334-21-4,"모발컨디셔닝제, 계면활성제-세정제, 계면활성제-거품형성제",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
202,소듐코코일이세티오네이트,Sodium cocoyl isethionate,61789-32-0,계면활성제(세정제),C,X,X,X,X,,,,,,,,,,,,,,,,,,,H318,
203,팜커넬/코코글루코사이드,Palm kernel/Coco-Glucoside,,"헤어컨디셔닝제, 피부컨디셔닝제(기타) ",B,X,S,L,X,,,,,,,,,,,,,,,,,,,,
204,소듐메타실리케이트,Sodium metasilicate,6834-92-0,"금속이온봉쇄제, 부식방지제",C,S,H,X,X,,,,,,,G,,,,,,사용량/사용방법에 따라 C~F등급,,,H314,,H351,H318,
205,글루코닉애씨드,Gluconic Acid,133-42-6,"금속이온봉쇄제, 향료",B,X,X,X,X,,,,,,,,,,,,,,,,,,,,
206,락틱애씨드,Lactic Acid,50-21-5,"각질제거제, 향료, 보습제, pH 조절제, 피부보습제, 피부컨디셔닝제",A,N,N,N,N,,,,,,,G,,,,,,,,,H314,,,H318,
207,칼슘설페이트,Calcium sulfate (CI 77231),7778-18-9,"연마제, 벌킹제(증량제), 불투명화제",C,X,X,X,X,,,,,,,,,,,,,,,H334,H317,,H350,H318,
208,트리아릴메탄,Triarylmethane,519-73-3,염료,,,,,,,,,,,,,,,,,,,,,,,,,
209,피이지 다이스테아레이트,Polyethylene glycol(PEG) Distearate,9005-08-07,계면활성제,C,S,S,S,S,,,,,,,G,,,,,,,,,H317,,,,
210,활성탄(카본),Activated charcoal(Carbon),7440-44-0,착색제,,,,,,,,,,,,,,,,,,,,,,,,,
211,비장탄,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,탄닉애씨드,Tannic acid,1401-55-4,"산화방지제, 수렴제, 착향제",,,,,,S,,,,,1,,,,,,,,,,,,,,
213,칼슘클로라이드,Calcium Chloride,10043-52-4,"수렴제, 점증제-수용성",A,N,N,N,N,,,,,,,G,,,,,,,,,,,,,
214,피이지 하이드로제네이티드캐스터오일,Polyoxyethylene(PEG) hydrogenated castor Oil,61788-85-0,"향료, 계면활성제",C,S,S,S,S,,,,,,,,,,,,,,,,,,,,
215,카라기난,Carrageenan,9000-07-01,"향료, 모발컨디셔닝제",C,X,X,X,S,,,,S,,1,G,,,,,,,,,,,,,
216,하이드록시프로필메틸셀룰로오스,Hydroxypropyl Methylcellulose ,9004-65-3,"점착제, 결합제, 유화안정제, 피막형성제, 점도증가제(수성)",D,X,X,X,X,,,,,,,G,,,,,,,,H335,,,,,
217,이염화이소시아뉼산나트륨,Sodium dichloroisocyanurate,2893-78-9,,,,,,,,,,,1,1,,,,,,,,,,,,,,
218,애씨드블루9(청색1호),Acid blue 9 (CI 42090),2650-18-2,착색제,C,X,X,X,X,,,,,,,,,,,1,,,,,H317,,,,
219,질소,Nitrogen ,7727-37-9,분사제,A,N,N,N,N,S,,,,,,G,,,,,,,,,,,,H318,
220,사이클로덱스트린,Cyclodextrin,7585-39-9,"흡수제, 금속이온봉쇄제",C,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
221,하이드로제네이티드캐스터오일,Hydrogenated Castor Oil,8001-78-3,"수분증발차단제, 점증제-비수용성",A,X,L,L,X,,,,,,,,,,,,,,,H335,,,,,
222,디알킬소듐설포석시네이트,Dialkyl sodium sulfosuccinate,,계면활성제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
223,말레익애씨드,Maleic Acid,110-16-7,"착향제, pH 조정제",C,S,S,X,X,,,,,,,,,,,,,,,,H317,,,H318,
224,디메치콘,Dimethicone,9006-65-9,"기포방지제, 수분증발차단제, 피부보호제",D,X,X,X,X,,,,,,,,,,,,,사용량/사용방법에 따라 C~D등급,,,,,,,
225,"폴리에틸렌이민(피이아이, 폴리아지리딘)","Polyethylenimine(PEI, polyaziridine)",9002-98-6,,,,,,,,,,,,,,,,,,,,,,H317,,,H318,
226,에스터쿼트,Ester quart,,,D,M,X,X,X,,,,,,,,,1,,,,,,,,,,,
227,육계잎오일,Cinnamomum Cassia Leaf Oil ,8007-80-5,"변성제, 감미제, 착향제",C,X,S,X,S,,,,,,,,,,,,,,R,H335,H317,,,,
228,코코넛오일,Cocos Nucifera (Coconut) Oil ,8001-31-8,"향료, 모발컨디셔닝제, 피부컨디셔닝제, 수분증발차단제",A,X,L,L,S,,,,,,,G,,,,,,,,,,,,,
229,포도씨오일,Vitis Vinifera (Grape) Seed Oil ,8024-22-4,피부컨디셔닝제,C,X,X,X,S,,,,,,,,,,,,,,,,,,,,
230,하이알루로닉애씨드,Hyaluronic Acid ,9004-61-9,"피부컨디셔닝제, 점증제-수용성",,,,,,,,,,,,,,,,,,,,,,,,,
231,실크프로틴,Silk protein,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,계피가루,Cinnamon powder,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,로즈마리잎가루,Rosmarinus Officinalis (Rosemary) Leaf Powder,84604-14-8,감미제,C,X,S,X,X,,,,,,,,,,,,,,S,,,,,,
234,녹차가루,Camellia Sinensis (Green tea) Leaf Powder,84650-60-2,,C,X,X,X,X,,,,,,,,,,,,,,,,H317,,,,
235,쌀겨추출물,Oryza Sativa (Rice) Bran Extract ,,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
236,현미초,Brown Rice Vinegar ,,"피부컨디셔닝제(보습제), pH 조정제 ",,,,,,,,,,,,,,,,,,,,,,,,,
237,로즈마리잎오일,Rosmarinus Officinalis (Rosemary) Leaf Oil,8000-25-7,"착향제, 피부컨디셔닝제(기타)",C,S,S,X,S,,,,,,,,,,,,,,,H335,H317,,,,
238,코코넛애씨드,Coconut fatty acid ,61788-47-4,계면활성제-세정제,A,X,L,L,X,,,,,,,G,,,,,,,,,,,,H318,
239,타타릭애씨드,Tartaric acid,87-69-4,"향료, pH 조절제",B,X,X,X,X,,,,,,,,,,,,,,,,H317,,,H318,
240,세틸알코올 (헥사데카놀),Cetyl alcohol (Hexadecanol),36653-82-4,"유화안정제, 향료, 불투명화제, 계면활성제-유화제, 계면활성제-거품형성제, 점증제-수용성, 점증제-비수용성",C,X,X,X,X,,,,,,1,,,,,,,,,H335,,,,,
241,오렌지오일,Citrus Aurantium Dulcis (Orange) Oil ,8008-57-9,향료,C,S,S,S,S,,,,,,1,Y,,,,,,,,,H317,,,,
242,파인애플추출물,Ananas Sativus (Pineapple) Fruit Extract ,68917-26-0,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
243,비트뿌리추출물,Beta Vulgaris (Beet) Root Extract,89957-89-1,피부컨디셔닝제(기타),C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
244,비트뿌리즙,Beta Vulgaris (Beet) Root Juice,,감미제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
245,살비아오일,Salvia Officinalis (Sage) Oil,8022-56-8,착향제,C,S,S,X,S,,,,,,1,,,,,,,,,,H317,,,,
246,실크추출물,Silk Extract,,피부컨디셔닝제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
247,락토바실러스/염소유발효여과물,Lactobacillus/Goat Milk Ferment Filtrate ,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,소듐코코일글리시네이트,Sodium cocoyl glycinate ,90387-74-9,"모발컨디셔인제, 피부컨디셔닝제, 계면활성제-세정제",,,,,,,,,,,,,,,,,,,,,,,,H318,
249,비트루트엔자임,Beta vulgaris (Beet) root enzyme,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,시어버터추출물,Butyrospermum Parkii (Shea) Butter Extract ,91080-23-8,피부컨디셔닝제(유연제),C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
251,자몽껍질오일,Citrus Paradisi (Grapefruit) Peel Oil,8016-20-4,향료,C,X,X,X,S,,,,,,,,,,,,,,R,H335,H317,,,,
252,왕귤껍질오일,Citrus Grandis (Grapefruit) Peel Oil,8016-20-4,"향료, 피부컨디셔닝제",C,S,S,X,S,,,,,,,,,,,,,,R,H335,H317,,,,
253,알로에베라잎즙추출물,Aloe Barbadensis Leaf Juice Extract,85507-69-3,피부컨디셔닝제,C,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
254,헥실렌글라이콜,Hexylene glycol,107-41-5,"향료, 용제, 점도감소제",C,S,S,X,X,S,S,,,,,G,,,,,,,,,,,,,
255,펜테틱애씨드,Pentetic acid (Diethylenetriamine pentaacetic Acid),67-43-6,금속이온봉쇄제,C,X,X,X,X,,,,,,,,,,,,,,,,H317,H361,,,
256,알킬폴리글루코사이드,Alkyl polyglucoside,,계면활성제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
257,아보카도오일,Persea Gratissima (Avocado) Oil ,8024-32-6,수분증발차단제,C,X,X,X,S,,,,,,,G,,,,,,,,H335,,,,,
258,시어버터오일,Butyrospermum Parkii (Shea) Oil ,,피부컨디셔닝제(수분차단제),C,X,X,X,S,,,,,,,,,,,,,,,,,,,,
259,카렌둘라오일,Calendula Officinalis Oil,,,C,X,X,X,S,,,,,,,,,,,,,,,,,,,,
260,글리세릴코코에이트,Glyceryl cocoate,61789-05-7,"피부유연화제, 계면활성제-유화제",,,,,,,,,,,,,,,,,,,,,,,,,
261,카프릴릴글리세릴에터,Caprylyl glyceryl ether,10438-94-5,"계면활성제(세정제), 계면활성제(거품촉진제)",,,,,,,,,,,,,,,,,,,,,,,,,
262,세틸피리디늄클로라이드,Cetylpridinum Chloride,123-03-5,"정전기방지제, 탈취제",,,,,,,,,,,,,,1,,,,,,,,,,H318,
263,귀리가루추출물,Avena Sativa (Oat) Meal Extract ,,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
264,아르간오일,Argania Spinosa (Argan) Oil,,,C,X,X,X,S,,,,,,,,,,,,,,,,,,,,
265,바오밥나무씨추출물,Adansonia Digitata Seed Extract,,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
266,라우릴알코올에톡실레이트,Lauryl Alcohol Ethoxylate,,,D,M,S,M,M,,,,,,,,,,,,,,,,,,,,
267,코카마이드디이에이,Cocamide DEA,68603-42-9,"계면활성제(거품촉진제), 점도증가제(수성) ",F,X,X,X,M,,S,,S,,1,,,,,,,사용량/사용방법에 따라 C~F등급,,,H317,,H351,H318,
268,김치효소추출물,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,당귀추출물,Angelica Gigas Root Extract,,"모발컨디셔닝제, 축모교정제, 피부컨디셔닝제",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
270,인삼추출물,Panax Ginseng Root Extract ,50647-08-0,피부컨디셔닝제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,H318,
271,해조추출물,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,디스테아릴디모늄클로라이드,Distearyldimonium Chloride,107-64-2,"전기방지제, 모발컨디셔닝제",F,M,X,X,X,,,,,,,,,1,,,,사용량/사용방법에 따라 C~F등급,,,,,,H318,
273,일라이트,Illite,12173-60-3,"스크럽제, 흡수제, 안티케이킹제, 벌킹제",,,,,,,,,,,,,,,,,,,,,,,,,
274,다래추출물,Actinidia Arguta Fruit Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,,,,,,,,,,
275,산초나무잎추출물,Zanthoxylum Schinifolium Leaf Extract,97927-05-4,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,,,,,,,,,,
276,할미꽃추출물,Pulsatilla Koreana Extract,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,,,,,,,,,,
277,이끼추출물,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,아밀라아제,Amylase,9000-92-4,,B,S,X,X,X,,,,,,,Y,,,,,,,,H334,,,,,
279,포타슘카보네이트,Potassium Carbonate ,584-08-7,pH 조절제,A,N,N,N,N,,,,,,,G,,,,,,,,,H314,,,H318,
280,소듐메틸코코일타우레이트,Sodium Methyl Cocoyl Taurate,12765-39-8,계면활성제(세정제),,,,,,,,,,,,,,,,,,,,,,,,,
281,소듐라우로암포아세테이트,Sodium Lauroamphoacetate,156028-14-7,"모발컨디셔닝제, 계면활성제-세정제, 계면활성제-거품형성제",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
282,에센셜오일,Essential oil,,,D,M,M,X,S,,,,,,,,,,1,,,,,,,,,,
283,베르가모트추출물,Citrus Aurantium Bergamia (Bergamot) Fruit Extract,89957-91-5,피부컨디셔닝제(기타),C,S,S,X,S,,,,,,,,,,,,,,R,,H317,,,,
284,테트라소듐글루타메이트다이아세테이트,Tetrasodium glutamate diacetate,51981-21-6,금속이온봉쇄제,C,X,X,X,X,,,,,,,G,,,,,,,,,H314,,,H318,
285,코카미도프로필아민옥사이드,Cocamidopropylamine Oxide ,68155-09-9,"모발컨디셔닝제, 계면활성제-세정제, 계면활성제-거품형성제, 계면활성제-친수제",C,S,S,X,X,,,,,,,G,,,,,,,,,,,,H318,
286,하이드록실메틸암모늄메스설페이트,알 수 없는 성분명,,,,,,,,,,,,,,,,1,,,,,,,,,,,
287,글라이콜,Glycol,107-21-1,"착향제, 보습제, 용제, 점도감소제",,,,,,S,S,S,,,,,,,,,,,,,,H360,,,
288,식물성파우더,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,산소계표백제,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,달맞이꽃추출물,Oenothera Biennis (Evening Primrose) Flower Extract,,수렴제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
291,장미추출물,Rose Extract,84696-47-9,수분증발차단제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
292,라우라미도프로필베타인,Lauramidopropyl Betaine,4292-10-08,"피부컨디셔닝제, 계면활성제-세정제, 계면활성제-거품형성제, 점증제-수용성, 정전기방지제, 모발컨디셔닝제",C,X,S,X,X,,,,,,,G,,,,,,,,,,,,H318,
293,녹차추출물,Camellia Sinensis Leaf Extract ,84650-60-2,"산화방지제, 수렴제, 향료, 피부유연화제, 피부보습제, 피부컨디셔닝제, 피부보호제, 변색방지제",C,X,X,X,X,,,,,,,,,,,,,,,,H317,,,,
294,폴리소르베이트20,Polysorbate 20,9005-64-5,"향료, 계면활성제-유화제, 계면활성제-용해보조제",D,S,S,S,S,,,,,,,G,,,,,,사용량/사용방법에 따라 C~D등급,,H335,H317,,,,
295,바바수아미도프로필베타인,Babassuamidopropyl Betaine,223704-95-8,"산화방지제, 모발컨디셔닝제, 피부컨디셔닝제, 계면활성제-세정제, 거품형성제, 점증제-수용성",,,,,,,,,,,,,,,,,,,,,,,,H318,
296,자몽씨추출물,Citrus Paradisi (Grapefruit) Seed Extract,,,C,S,S,X,S,,,,,,,,,,,,,,,,,,,,
297,애플민트잎추출물,Mentha Suaveolens Leaf Extract,,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
298,소르비탄올리에이트,Sorbitan Oleate,1338-43-8,"착향제, 계면활성제(유화제)",B,X,X,L,X,,,,,,,G,,,,,,,,,,,,,
299,이미다졸리움,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,C10-16알킬글루코사이드,C10-16 Alkyl Glucoside,110615-47-9,계면활성제(유화제),C,X,X,X,X,,,,,,,G,,,,,,,,,H317,,,H318,
301,사과수,Pyrus Malus (Apple) Fruit Water,,향료,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
302,카프릴릴글라이콜,Caprylyl Glycol,1117-86-8,"모발컨디셔닝제, 피부유연화제",C,X,X,X,X,,,,,,,G,,,,,,,,,,,,H318,
303,피톤치드수추출물,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,창포추출물,Acorus Calamus Root Extract ,84775-39-3,,F,X,S,X,X,,,,,,,,,,,,,,S,,,,,,
305,코카미도프로필베타인,Cocamidopropyl Betaine ,61789-40-0,"정전기방지제, 모발컨디셔닝제, 피부컨디셔닝제, 계면활성제-세정제, 계면활성제-거품형성제, 점증제-수용성",C,X,S,X,X,,S,,,,,G,,,,,,,,,H317,,,H318,
306,라우랄코늄클로라이드,Lauralkonium Chloride,139-07-1,"정전기방지제, 살균보존제",D,M,X,X,X,S,S,,,,,,,1,,,,,,,H314,,,H318,
307,순비누,Soap,,,A,X,L,L,X,,,,,,,,,,,,,,,,,,,,
308,야자 추출 식물성 유연성분,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,제주산소수,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,바오밥나무오일,Adansonia Digitata Oil ,,피부컨디셔닝제(수분차단제),,,,,,,,,,,,,,,,,,,,,,,,,
311,카렌둘라꽃오일,Calendula Officinalis Flower Oil,70892-20-5,"향료, 피부컨디셔닝제",C,X,X,X,S,,,,,,,,,,,,,,,,,,,,
312,달맞이꽃오일,Oenothera Biennis (Evening Primrose) Oil,90028-66-3,피부컨디셔닝제,C,X,X,X,S,,,,,,,,,,,,,,,,,,,,
313,로즈힙꽃오일,Rosa Canina Flower Oil ,,"착향제, 피부컨디셔닝제(유연제)",C,X,S,X,S,,,,,,,,,,,,,,,,,,,,
314,호호바씨오일,Simmondsia Chinensis (Jojoba) Seed Oil,61789-91-1,"모발컨디셔닝제, 수분증발차단제",C,X,X,X,S,,,,,,,H,,,,,,,,,,,,,
315,콩발효추출물,Soybean Ferment Extract ,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,동백꽃추출물,Camellia Japonica Flower Extract,223748-13-8,피부유연화제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
317,금은화추출물,Lonicera Japonica (Honeysuckle) Flower Extract,223749-79-9,피부컨디셔닝제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
318,브로콜리싹추출물,Brassica Oleracea Italica (Broccoli) Sprout Extract,223749-36-8,피부유연화제,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
319,올리브비누분말,Powder of OLEA EUROPAEA(OLIVE) OIL CASTILE SOAP,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,d-글루코피라노스,d-glucopyranose,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,비니거(식초),Vinegar,,pH 조절제,A,N,N,N,N,,,,,,,G,,,,,,,,,,,,,
322,소듐폴리아스파테이트,Sodium polyaspartate,94525-01-6,"모발컨디셔닝제, 피부보습제",C,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
323,시트랄,Citral,5392-40-5,"감미제, 향료",C,S,S,X,S,,,,,,,,,,,,,,R,,H317,,,,
324,제라니올,Geraniol,106-24-1,향료,C,X,S,X,X,,,,,,,,,,,,,,R,H335,H317,,,H318,
325,리모넨,Limonene,138-86-3,"향료, 용제",C,S,S,L,S,,,,,,,Y,,,,,,,R,,H317,,,,
326,식물성비누,Vegan soap,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,포타슘시트레이트,Potassium Citrate,866-84-2,"완충화제, pH 조정제",A,N,N,N,N,,,,,,,G,,,,,,,,,,,,,
328,포타슘비누,Potassium soap,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,리날룰,Linalool,78-70-6,향료,D,S,S,X,S,,,,,,,Y,,,,,,사용량/사용방법에 따라 C~D등급,R,H335,H317,,,,
330,베타인,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,다당류,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,트라이소듐다이카복시메틸알라니네이트,Trisodium Dicarboxymethyl Alaninate,164462-16-2,금속이온봉쇄제,B,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
333,코코베타인,Coco-Betaine,68424-94-2,"정전기방지제, 모발컨디셔닝제, 피부컨디셔닝제, 계면활성제-세정제, 계면활성제-거품형성제, 점증제-수용성",C,X,X,X,X,,,,,,,G,,,,,,,,,H314,,,H318,
334,편백잎추출물,Chamaecyparis Obtusa Leaf Extract ,,피부컨디셔닝제(기타),,,,,,,,,,,,,,,,,,,,,,,,,
335,황기추출물,Astragalus Membranaceus Root Extract,94166-93-5,"피부유연화제, 피부컨디셔닝제",C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
336,콩오일,Glycine Soja (Soybean) Oil,8001-22-7,"산화방지제, 향료, 수분증발차단제",A,X,L,L,S,,,,,,,G,,,,,,,,,,,,,
337,식물성 계면활성제,알 수 없는 성분명,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,카프릴릴/미리스틸 글루코사이드,Caprylyl/Myristyl glucoside,68515-73-1,계면활성제,B,X,S,L,X,,,,,,,G,,,,,,,,,,,,H318,
339,데하이드로아세틱애씨드,Dehydroacetic Acid,520-45-6,살균보존제,C,X,X,X,X,,,,,,,Y,,,,,,,,,,,,,
340,소듐하이드록시메칠글리시네이트,Sodium Hydroxymethylglycinate,70161-44-3,모발컨디셔닝제,,,,,,,,,,,,,,,,,,,,,H317,,,,
341,해바라기씨오일,Helianthus Annuus (Sunflower) Seed Oil,8001-21-6,"피부컨디셔닝제, 수분증발차단제",C,X,X,X,S,,,,,,,G,,,,,,,,,,,,,
342,페녹시에탄올,Phenoxyethanol,122-99-6,"향료, 살균보존제",C,X,X,S,X,,,S,,,,Y,,,,,,사용량/사용방법에 따라 B~C등급,,H335,,H361,H351,,
343,글리세릴올리에이트,Glyceryl Oleate,111-03-5,"향료, 피부유연화제, 계면활성제-유화제",C,X,X,X,X,,,,,,,G,,,,,,,,,,,,,
344,유칼립투스폴리브렉티아오일,Eucalyptus polybractea oil,,,C,X,X,X,X,,,,,,,,,,,,,,,,,,,,
345,올레익애씨드,Oleic Acid,112-80-1,"향료, 계면활성제-세정제",A,X,L,L,X,,,,,,,G,,,,,,,,,,,,,
